chrom	locus	3D_x	3D_y	3D_z
6	111600000	149.778	149.184	86.476

6	71600000	32.544	158.209	131.041

22	38050000	107.031	142.174	186.735

10	31700000	93.216	162.958	123.076

16	22100000	26.478	4.796	106.858

6	112200000	150.690	147.963	95.736

17	17650000	172.456	69.075	49.569

13	106750000	174.988	148.679	175.042

13	36550000	145.307	49.559	27.707

9	41750000	72.557	79.943	121.559

1	124050000	128.465	66.652	68.033

7	157300000	165.338	30.776	58.576

1	39500000	39.204	161.278	124.530

7	141300000	118.101	14.123	133.335

11	55450000	57.696	108.653	70.800

19	35250000	24.128	124.225	40.777

1	79400000	206.633	179.883	101.319

18	54850000	7.329	46.746	156.041

9	86200000	22.994	70.180	147.541

16	48150000	102.626	129.038	-16.098

17	73400000	25.058	59.008	163.157

11	100200000	79.177	210.040	167.885

4	77650000	190.384	62.683	76.631

6	95200000	114.814	202.174	176.014

11	63200000	135.379	137.954	21.550

11	32350000	5.167	52.485	76.351

5	37050000	134.052	87.143	147.200

2	63650000	143.874	120.410	176.269

21	19900000	67.709	117.554	7.086

14	87300000	-6.994	54.259	93.514

6	63050000	57.028	95.838	178.860

11	111200000	89.725	136.890	186.822

19	35500000	15.883	121.133	39.875

10	2850000	158.584	161.501	66.839

10	125500000	174.203	29.779	115.511

1	75650000	194.561	130.828	84.451

4	66850000	158.759	142.016	157.853

19	191822	169.144	57.905	168.466

1	74400000	201.031	117.849	76.903

17	50250000	107.200	200.018	92.268

11	15100000	102.191	15.899	70.121

22	14250000	109.435	32.606	23.969

12	105600000	135.855	60.160	14.239

22	40700000	38.434	173.586	148.554

3	27100000	116.457	46.119	160.717

3	116550000	188.238	135.556	-15.269

13	31350000	85.508	75.907	4.246

16	63350000	41.117	169.372	64.907

14	6950000	156.109	62.953	186.513

7	149050000	108.779	26.727	95.249

16	9400000	120.019	-15.293	95.935

13	47250000	20.334	54.398	84.195

2	137350000	135.784	221.081	46.977

6	59450000	77.231	116.128	99.440

10	44000000	29.331	138.983	79.060

6	77600000	66.929	145.101	199.646

2	142100000	77.255	194.938	78.740

6	101900000	126.708	161.042	178.475

2	242803352	134.377	171.544	61.795

8	48050000	108.021	79.274	171.621

9	23000000	78.818	118.011	2.166

3	18350000	131.071	91.185	121.042

5	146250000	148.596	107.089	31.326

2	131800000	134.032	201.085	81.031

